,ref,LED1,LED2,LED3
653,6.88E-06,4.17E-06,0.001549232,0.034482604
654,6.49E-06,4.12E-06,0.001306628,0.037596299
655,6.37E-06,3.62E-06,0.001105535,0.04043677
656,5.69E-06,2.57E-06,0.00094011,0.042846529
657,5.39E-06,2.82E-06,0.000802718,0.044510606
658,5.40E-06,4.05E-06,0.000683699,0.045049278
659,4.97E-06,3.02E-06,0.000579775,0.044331782
660,4.44E-06,2.80E-06,0.00049212,0.042257185
661,4.32E-06,1.73E-06,0.000420651,0.039197741
662,4.36E-06,2.49E-06,0.000358907,0.035371351
663,3.95E-06,4.08E-06,0.000306807,0.031156068
664,4.08E-06,4.34E-06,0.000257652,0.026867049
665,4.66E-06,3.74E-06,0.000218305,0.022787397
666,4.61E-06,4.64E-06,0.000186207,0.0191391
667,4.33E-06,2.48E-06,0.000158782,0.016019196
668,3.63E-06,3.03E-06,0.000135894,0.013367518
669,3.29E-06,3.38E-06,0.000118008,0.011059045
670,4.15E-06,1.82E-06,0.000103232,0.009197595
671,4.38E-06,3.94E-06,8.94E-05,0.007628153
672,3.80E-06,4.18E-06,7.74E-05,0.006306978
673,3.10E-06,4.41E-06,6.69E-05,0.00517114
674,3.67E-06,3.51E-06,5.97E-05,0.00426633
675,3.69E-06,2.98E-06,5.25E-05,0.00351301
676,2.90E-06,2.84E-06,4.74E-05,0.002889299
677,2.81E-06,3.94E-06,4.03E-05,0.002373248
678,3.33E-06,4.49E-06,3.60E-05,0.001959055
679,2.78E-06,3.85E-06,3.17E-05,0.001624775
680,2.46E-06,4.96E-06,2.66E-05,0.001341711
681,2.70E-06,4.90E-06,2.51E-05,0.001129642
682,2.72E-06,5.48E-06,2.17E-05,0.000959795
683,2.99E-06,8.04E-06,1.92E-05,0.000814809
684,2.91E-06,5.91E-06,1.79E-05,0.000694213
685,2.19E-06,3.20E-06,1.52E-05,0.000597946
686,1.70E-06,4.74E-06,1.58E-05,0.000513895
687,2.39E-06,4.49E-06,1.30E-05,0.000438605
688,1.87E-06,7.84E-06,1.16E-05,0.000372773
689,2.73E-06,7.23E-06,1.29E-05,0.000319496
690,3.49E-06,7.17E-06,1.50E-05,0.000273697
691,2.54E-06,6.56E-06,1.48E-05,0.000234024
692,2.44E-06,6.93E-06,1.24E-05,0.00020265
693,2.02E-06,5.49E-06,1.19E-05,0.000169136
694,2.22E-06,6.75E-06,7.58E-06,0.000141414
695,2.65E-06,5.97E-06,8.88E-06,0.000122727
696,2.45E-06,7.56E-06,7.46E-06,0.000106033
697,2.87E-06,9.19E-06,7.62E-06,9.15E-05
698,3.40E-06,8.79E-06,5.53E-06,7.77E-05
699,3.40E-06,7.76E-06,4.24E-06,6.49E-05
700,3.06E-06,8.82E-06,5.89E-06,5.74E-05
701,1.93E-06,6.15E-06,5.31E-06,5.34E-05
702,1.34E-06,6.59E-06,2.23E-07,4.36E-05
703,0,4.93E-06,2.72E-06,3.68E-05
704,0,7.59E-06,8.09E-06,3.28E-05
705,0,3.56E-06,5.72E-07,2.50E-05
706,0,1.04E-06,0,2.31E-05
707,0,1.06E-06,0,1.73E-05
708,9.00E-08,8.37E-06,0,1.61E-05
709,1.69E-06,7.51E-06,0,1.69E-05
710,2.00E-06,6.97E-06,0,1.78E-05
711,2.03E-06,9.56E-06,8.70E-07,1.60E-05
712,8.49E-07,9.54E-06,6.89E-06,1.24E-05
713,1.80E-06,1.12E-05,1.06E-05,1.89E-05
714,3.85E-06,1.58E-05,8.72E-06,2.00E-05
715,4.02E-06,1.81E-05,4.71E-06,1.98E-05
716,3.41E-06,1.74E-05,6.59E-06,1.80E-05
717,2.16E-06,1.53E-05,5.47E-06,1.85E-05
718,2.83E-06,1.64E-05,4.81E-06,8.18E-06
719,4.57E-07,1.61E-05,8.38E-06,9.99E-06
720,2.41E-06,9.02E-06,1.05E-05,7.96E-06
721,3.34E-06,1.11E-05,6.62E-06,8.44E-06
722,2.45E-06,1.06E-05,5.69E-06,1.09E-05
723,1.44E-06,9.72E-06,8.13E-06,9.51E-06
724,2.61E-06,1.21E-05,5.92E-06,9.10E-06
725,2.52E-06,1.55E-05,7.23E-06,1.27E-05
726,1.10E-06,1.43E-05,0.00000726,1.62E-05
727,1.66E-06,1.35E-05,2.25E-06,1.07E-05
728,2.05E-06,1.43E-05,3.16E-06,1.12E-05
729,2.46E-06,1.48E-05,5.90E-06,1.18E-05
730,1.28E-06,1.39E-05,3.69E-06,1.24E-05
731,6.39E-08,1.39E-05,7.34E-07,1.20E-05
732,1.61E-06,1.89E-05,4.07E-06,9.44E-06
733,8.27E-08,2.03E-05,2.23E-06,1.23E-05
734,1.72E-06,1.36E-05,5.77E-06,7.16E-06
735,2.10E-06,1.19E-05,1.17E-06,8.38E-06
736,6.27E-07,1.37E-05,0,7.88E-06
737,8.54E-07,1.58E-05,1.76E-08,9.95E-06
738,5.29E-07,1.72E-05,1.22E-06,8.08E-06
739,1.70E-06,1.80E-05,1.36E-06,3.98E-06
740,9.25E-07,1.69E-05,7.67E-06,7.21E-06
741,5.49E-07,1.74E-05,3.28E-06,8.80E-06
742,1.43E-06,1.67E-05,6.37E-06,1.22E-05
743,6.91E-07,1.80E-05,4.53E-06,9.01E-06
744,2.55E-06,1.65E-05,8.04E-07,9.93E-06
745,2.27E-06,2.12E-05,0,6.51E-06
746,8.54E-07,2.59E-05,1.75E-06,3.26E-06
747,0,1.62E-05,6.85E-06,1.09E-05
748,0,1.93E-05,1.21E-06,9.36E-06
749,3.19E-06,2.32E-05,7.86E-08,9.38E-06
750,2.26E-06,2.31E-05,1.32E-06,9.76E-06
751,1.04E-06,1.98E-05,1.02E-06,1.01E-05
752,3.16E-06,2.01E-05,1.48E-07,1.61E-05
753,5.21E-06,2.49E-05,3.78E-06,1.29E-05
754,3.15E-06,2.87E-05,3.13E-06,1.02E-05
755,5.43E-06,3.03E-05,1.15E-05,5.36E-06
756,7.55E-07,2.35E-05,8.06E-06,4.72E-06
757,3.31E-06,3.08E-05,2.05E-06,8.65E-06
758,6.30E-06,2.78E-05,0,5.25E-06
759,4.04E-06,2.85E-05,0,2.14E-06
760,9.71E-07,3.03E-05,5.10E-06,6.36E-06
761,3.55E-06,2.71E-05,2.58E-06,4.29E-06
762,3.52E-06,3.18E-05,0,7.05E-06
763,5.71E-06,3.58E-05,1.43E-05,7.32E-06
764,2.59E-06,2.55E-05,1.83E-06,1.97E-05
765,1.47E-06,2.51E-05,6.41E-06,1.76E-05
766,6.88E-07,3.00E-05,9.44E-06,4.21E-06
767,1.17E-06,2.74E-05,5.38E-06,4.18E-06
768,4.42E-06,3.38E-05,4.41E-06,2.60E-06
769,2.50E-06,3.63E-05,3.12E-06,8.82E-06
770,2.06E-06,3.16E-05,3.11E-06,6.55E-06
771,6.20E-06,3.14E-05,4.83E-06,0
772,1.06E-06,4.14E-05,1.19E-05,5.13E-06
773,2.34E-06,4.44E-05,7.21E-07,1.03E-05
774,3.41E-06,5.00E-05,0,7.66E-06
775,9.72E-06,3.98E-05,1.56E-06,9.62E-06
776,1.25E-05,3.05E-05,2.83E-05,8.81E-06
777,1.63E-05,4.34E-05,7.27E-06,0
778,4.04E-06,4.14E-05,1.72E-05,0
779,1.35E-05,5.26E-05,2.39E-05,5.07E-06
780,1.06E-05,4.13E-05,8.91E-06,6.00E-06
